Customer_id,Account_id,Account_type,Account_open_date,Account_status,Gender,Age,State,Customer_segment,Employment_status,Annual_income_INR,Account_balance_INR,Kyc_status,Nominee_added,Mobile_banking_enabled,Net_banking_enabled,Credit_card_linked,Demat_account,Last_login_days_ago,Is_dormant,Churn_flag,Fraud_flag,Loan_type,Loan_amount_INR,Loan_tenure_months,Outstanding_principal_INR,Emi_amount_INR,Days_past_due,Is_npa,Penalty_amount_INR,Credit_score,Risk_rating,Monthly_interest_income_INR,Monthly_service_charges_INR,Num_transactions_last_month,Avg_transaction_value_INR,Last_transaction_date,Last_transaction_type,Last_transaction_channel,Last_transaction_amount_INR,Transaction_currency
CUST100414,ACC900414,Savings,03/09/2018,Inactive,Female,37,Karnataka,HNI,Student,-1412356.14,1544902.03,Rejected,Y,N,Y,N,N,432,0,0,0,Education Loan,4003492.85,24,2646431.66,80069.86,120,1,1344.21,583,Very High,5652.2,758.76,93,36200.78,31/07/2022,Penalty,IMPS,132.99,GBP
CUST100475,ACC900475,Checking,10/09/2018,Inactive,Male,67,Tamil Nadu,Retail,Retired,-1409480.24,-67875.22,Pending,Y,Y,N,Y,N,724,0,0,0,Personal Loan,501642.35,60,337596.13,10032.85,0,0,0,606.9468085,Medium,14664.92,1683.67,97,40787.46,19/02/2024,Transfer,Mobile App,486420.11,INR
CUST100401,ACC900401,Savings,06/11/2018,Inactive,Female,60,West Bengal,SME,Retired,-1045850.7,613733.92,Pending,N,Y,N,Y,N,328,0,0,0,Home Loan,528492.03,24,153182.17,10569.84,0,0,0,863,Very High,6186.86,721.23,86,42508.37,29/06/2020,Credit,RTGS,120847.36,INR
CUST100001,ACC900001,Current,18/08/2018,Inactive,Female,69,West Bengal,Retail,Salaried,-983368.45,1101971.8,Verified,Y,N,N,Y,N,543,0,0,0,Education Loan,2000113.81,60,439101.28,40002.28,36.06451613,0,0,897,Very High,4250.95,1512.33,17,131762.82,18/10/2019,Interest,RTGS,33438.02,INR
CUST100485,ACC900485,Recurring Deposit,28/03/2018,Active,Male,33,Rajasthan,SME,Retired,-947557.34,1535871.89,Verified,Y,Y,N,Y,N,341,0,0,0,No Loan,0,0,0,0,0,1,0,893,Medium,13022.8,528.18,102,45804.91,23/01/2021,Interest,UPI,76858.49,INR
CUST100041,ACC900041,Fixed Deposit,06/08/2019,Frozen,Male,58,Telangana,Corporate,Business Owner,-830802.98,1576300.74,Expired,Y,N,Y,N,Y,716,1,0,0,No Loan,0,0,0,0,0,0,0,799,Very High,616791.2,967.125,108,59489.08,07/01/2022,Interest,Net Banking,205379.97,GBP
CUST100425,ACC900425,Fixed Deposit,07/02/2023,Active,Female,57,Delhi,SME,Retired,-612814.97,505949.72,Rejected,N,Y,N,Y,N,504,0,1,1,Auto Loan,4716019.25,120,1457782.02,94320.38,120,1,568.25,702,High,6339.13,1075.4,79,12346.35,08/03/2022,Interest,NEFT,9147.72,INR
CUST100447,ACC900447,Checking,29/11/2020,Inactive,Female,34,Maharashtra,Corporate,Self-Employed,-493179.14,-115943.42,Verified,Y,N,N,Y,N,651,0,0,0,Personal Loan,4893224.88,12,3341504.13,97864.5,36.06451613,0,0,569,Very High,12225.74,-60.53,52,40787.46,04/02/2023,Interest,Net Banking,293368.06,INR
CUST100014,ACC900014,Current,31/10/2022,Inactive,Female,44,Karnataka,SME,Retired,-448031.5,1290785.62,Verified,Y,Y,N,Y,Y,302,0,0,1,Personal Loan,1194483.96,12,1010201.48,23889.68,180,1,3885.41,752,High,14123.12,1757.13,54,38485.98,03/06/2023,Debit,Net Banking,186850.4,INR
CUST100082,ACC900082,Recurring Deposit,19/05/2020,Inactive,Male,62,Telangana,Retail,Business Owner,-309544.09,1057726.05,Expired,N,N,Y,N,Y,114,0,0,1,Auto Loan,1759919.67,12,1468096.74,35198.39,120,1,4411.7,336,Medium,15261.17,1152.83,58,38692.43,18/08/2018,Interest,UPI,363810.46,USD
