customer_id,account_id,account_type,account_open_date,account_status,gender,age,state,pincode,customer_segment,employment_status,employer_name,annual_income_inr,account_balance_inr,num_products_held,kyc_status,nominee_added,mobile_banking_enabled,net_banking_enabled,credit_card_linked,demat_account,branch_name,relationship_manager_id,last_login_days_ago,is_dormant,churn_flag,fraud_flag,loan_type,loan_amount_inr,loan_tenure_months,outstanding_principal_inr,emi_amount_inr,days_past_due,is_npa,penalty_amount_inr,credit_score,credit_bureau,risk_rating,savings_interest_rate_pct,fd_interest_rate_pct,overdraft_limit_inr,monthly_interest_income_inr,monthly_service_charges_inr,num_transactions_last_month,avg_transaction_value_inr,last_transaction_date,last_transaction_type,last_transaction_channel,last_transaction_amount_inr,transaction_currency
CUST100000,ACC900000,Savings,13-04-2018,Inactive,F,32,Delhi,279451,,Business Owner,,3876066.04,166136.95,2,,N,Y,,N,,Delhi North,,276,0,1,0,Personal Loan,1209031.07,120,358195.73,24180.62,0,0,0,463,EQUIFAX,High,5.81,,,12031.55,1724.89,27,8238.54,09-11-2021,Credit,UPI,382156.58,GBP
CUST100001,ACC900001,Current,18-08-2018,,F,69,West Bengal,899550,Retail,Salaried,Employer_175,-983368.45,1101971.8,6,,,N,,,,Bangalore MG Road,,543,0,0,0,Education Loan,2000113.81,60,439101.28,40002.28,,,0,897,EQUIFAX,,,,,4250.95,1512.33,17,131762.82,18-10-2019,Interest,RTGS,33438.02,INR
CUST100002,ACC900002,Recurring Deposit,20-08-2021,Active,,,Maharashtra,777568,Retail,Self-Employed,,4330448.48,121520.35,2,Verified,N,N,N,N,,Delhi North,,347,0,,0,Home Loan,3848503.56,36,808856.55,76970.07,30,0,1203.69,733,EXPERIAN,Low,,,,4265.98,1457.73,51,33827.82,09-07-2020,Transfer,Net Banking,10708.91,INR
CUST100003,ACC900003,Checking,24-02-2020,Closed,F,26,West Bengal,237235,Corporate,,,1104273.08,156615.45,8,Verified,N,Y,,,N,Jaipur Vaishali,RM30,74,,1,0,Home Loan,310506.91,24,266352.82,6210.14,120,1,45557.57,710,EXPERIAN,Low,,,39201.56,-498.53,813.18,49,72544.06,26-03-2024,Debit,IMPS,90834.21,INR
CUST100004,ACC900004,Fixed Deposit,19-12-2024,Inactive,M,22,Maharashtra,934794,Corporate,Salaried,Employer_1,2578829.24,135080.02,5,Expired,,,Y,N,Y,Pune FC Road,RM23,682,,1,0,Education Loan,4223685.75,12,2941845.15,84473.71,0,0,0,437,CIBIL,Medium,,7.96,,7912.08,156.57,95,22410.68,13-04-2020,Interest,UPI,252772.98,INR
CUST100005,ACC900005,Current,12-04-2024,Frozen,,65,,664607,Corporate,Salaried,Employer_30,4485508.82,1585842.33,5,Expired,N,Y,,N,Y,Jaipur Vaishali,RM24,680,1,0,0,Personal Loan,3855223.43,48,1210455.39,77104.47,0,0,0,527,,Medium,,,,1754.4,628.07,105,17806.65,15-02-2021,Transfer,Net Banking,178790.97,INR
CUST100006,ACC900006,Recurring Deposit,09-07-2021,Frozen,F,64,Maharashtra,907451,,Business Owner,,2578715.12,1351593.22,4,Verified,N,N,Y,Y,,Chennai East,,712,0,,1,,,,,,90,1,368.87,478,,,,,,3283.21,506.81,0,23280.45,12-08-2021,EMI,IMPS,220542.73,INR
CUST100007,ACC900007,Savings,02-04-2024,Inactive,F,25,Maharashtra,801364,,Business Owner,,825255.69,1146609.88,4,Rejected,N,Y,N,N,N,Pune FC Road,,130,1,0,0,Education Loan,3084101.93,,2653691.56,61682.04,30,0,4661.85,583,EXPERIAN,Very High,4.45,,,11014.06,1757.26,9,19655.9,27-11-2018,Debit,Mobile App,118096.04,INR
CUST100008,ACC900008,Fixed Deposit,21-08-2024,,M,23,West Bengal,910004,Retail,Retired,,796562.05,745384.12,8,Pending,N,,Y,Y,,Kolkata West,,579,0,,0,,,,,,90,1,,731,CIBIL,,,8.07,,2664.52,239.71,95,81193.69,14-06-2018,Debit,ATM,,USD
CUST100009,ACC900009,Current,23-12-2023,,,22,Telangana,656711,Corporate,Business Owner,,240747.24,901292.52,5,Expired,Y,N,,Y,N,Hyderabad Banjara Hills,RM28,719,0,1,0,Education Loan,3634202.66,60,2328252.28,72684.05,120,1,2368.13,574,EXPERIAN,,,,,7596.06,791.75,11,70305.17,04-11-2024,Transfer,RTGS,13987.48,USD
CUST100010,ACC900010,Current,09-06-2021,Inactive,Other,64,Maharashtra,876039,Retail,Retired,,1777632.71,1413420.97,2,Expired,N,N,,N,N,Mumbai Central,,270,,,0,Auto Loan,3645655.44,60,3333641.97,72913.11,60,0,2105.51,314,EQUIFAX,Low,,,,2466.76,171.35,6,57911.91,04-07-2023,Credit,Net Banking,285365.71,USD
CUST100011,ACC900011,Checking,09-09-2020,Frozen,F,28,Karnataka,713762,Corporate,Retired,,2142588.73,64334.47,8,Verified,Y,N,,,N,Ahmedabad SG Highway,RM41,481,0,0,0,,,,,,120,1,4835.83,539,EXPERIAN,Very High,,,1988619.41,4702.24,1938.29,69,53575.85,20-10-2018,Debit,ATM,409185.8,EUR
